Ordre de travail;Staut Ordre de travail;Equipment;Noeud Parent;Classification Equipement;Date début;Type OT
OT018239;en cours INV;ULPRPH0303;ULPRPH03;MECANIQUE;2019-01-27;correctif planifié
OT018240;clôturé;ULPRPH030401;ULPRPH0304;MECANIQUE;2019-01-26;correctif planifié
OT018242;en cours INV;ULPRPH0305;ULPRPH03;MECANIQUE;2019-01-26;correctif planifié
OT018244;en cours INV;ULPRDV;ULPR;MECANIQUE;2019-01-25;correctif planifié
OT018245;clôturé;PFC101;PFC1;MECANIQUE;2019-01-20;correctif planifié
OT018246;en cours INV;ULUTTE010502;ULUTTE0105;MECANIQUE;2019-01-19;correctif non planifié
OT018247;en cours INV;ULUTTE010502;ULUTTE0105;MECANIQUE;2019-01-23;correctif non planifié
OT018248;clôturé;PFC103;PFC1;MECANIQUE;2019-01-19;correctif planifié
OT018269;clôturé;PFC107;PFC1;MECANIQUE;2019-01-27;correctif planifié
OT018275;clôturé;PFC101;PFC1;MECANIQUE;2019-01-27;correctif non planifié
OT018349;clôturé;PFC109;PFC1;MECANIQUE;2019-01-28;correctif planifié
OT018743;clôturé;PAV004016;PAV004;MECANIQUE;2019-01-26;correctif planifié
OT018744;clôturé;ULPRSR0102;ULPRSR01;MECANIQUE;2019-01-26;correctif planifié
OT018745;en cours INV;ULPRPH0304;ULPRPH03;MECANIQUE;2019-01-26;correctif planifié
OT018749;en cours INV;ULPRPH0104;ULPRPH01;MECANIQUE;2019-01-28;correctif non planifié
OT018751;en cours INV;ULPRPH0205;ULPRPH02;MECANIQUE;2019-01-28;correctif non planifié
OT018756;clôturé;PFC101;PFC1;MECANIQUE;2019-01-20;correctif non planifié
OT018760;clôturé;PFC103;PFC1;MECANIQUE;2019-01-28;correctif planifié
OT018764;clôturé;PFS101;PFS1;MECANIQUE;2019-01-29;correctif planifié
OT018766;en cours INV;PAV00320;PAV003;MECANIQUE;2019-01-02;correctif planifié
OT018767;en cours INV;PAV00388;PAV003;MECANIQUE;2019-01-03;correctif planifié
OT018768;clôturé;PAV00330;PAV003;MECANIQUE;2019-01-03;correctif planifié
OT018769;en cours INV;PAV00317;PAV003;MECANIQUE;2019-01-04;correctif planifié
OT018770;en cours INV;PAV00401;PAV003;MECANIQUE;2019-01-07;correctif planifié
OT018844;en cours INV;PAV00370;PAV003;MECANIQUE;2019-01-10;correctif planifié
OT018936;en cours INV;PAV00323;PAV003;MECANIQUE;2019-01-11;correctif planifié
OT019272;en cours INV;PAV00399;PAV003;MECANIQUE;2019-01-12;correctif planifié
OT019354;en cours INV;PAV00415;PAV003;MECANIQUE;2019-01-15;correctif planifié
OT019389;en cours INV;PAV00334;PAV003;MECANIQUE;2019-01-15;correctif planifié
OT019390;en cours INV;PAV00326;PAV003;MECANIQUE;2019-01-15;correctif planifié
OT019391;en cours INV;PAV00329;PAV003;MECANIQUE;2019-01-15;correctif planifié
OT019392;en cours INV;PAV00396;PAV003;MECANIQUE;2019-01-16;correctif planifié
OT020169;clôturé;PFS101;PFS1;MECANIQUE;2019-01-29;correctif planifié
OT020171;clôturé;PFG207;PFG2;MECANIQUE;2019-01-29;correctif planifié
OT020260;clôturé;PFC103;PFC1;MECANIQUE;2019-01-29;correctif planifié
OT020310;clôturé;PFS103;PFS1;MECANIQUE;2019-01-29;correctif planifié
OT020358;clôturé;PFC107;PFC1;MECANIQUE;2019-01-29;correctif planifié
OT020619;en cours INV;ULPRPH0402;ULPRPH04;MECANIQUE;2019-01-29;correctif planifié
OT020620;en cours INV;ULPRPH0402;ULPRPH04;MECANIQUE;2019-01-29;correctif planifié
OT020622;clôturé;PFC106;PFC1;MECANIQUE;2019-01-30;correctif planifié
OT020623;clôturé;PFC101;PFC1;MECANIQUE;2019-01-18;correctif non planifié
OT020624;clôturé;PFC104;PFC1;MECANIQUE;2019-01-30;correctif planifié
OT020636;en cours INV;PAV004014;PAV004;MECANIQUE;2019-02-02;correctif planifié
OT021008;clôturé;PFS103;PFS1;MECANIQUE;2019-01-30;correctif non planifié
OT021009;clôturé;PFC107;PFC1;MECANIQUE;2019-01-30;correctif non planifié
OT021011;en cours INV;ULPRPH0104;ULPRPH01;MECANIQUE;2019-01-30;correctif planifié
OT021012;en cours INV;ULPRPH0205;ULPRPH02;MECANIQUE;2019-01-29;correctif planifié
OT021016;en cours INV;ULPRDV0105;ULPRDV01;MECANIQUE;2019-01-29;correctif planifié
OT021017;clôturé;ULPRPH0603;ULPRPH06;MECANIQUE;2019-01-29;correctif planifié
OT021043;clôturé;PFC101;PFC1;MECANIQUE;2019-01-30;correctif planifié
OT021044;clôturé;PFC104;PFC1;MECANIQUE;2019-01-17;correctif non planifié
OT021045;clôturé;PFC104;PFC1;MECANIQUE;2019-01-17;correctif non planifié
OT021046;clôturé;PFC104;PFC1;MECANIQUE;2019-01-16;correctif planifié
OT021047;clôturé;PFC107;PFC1;MECANIQUE;2019-01-16;correctif planifié
OT021048;clôturé;PFC102;PFC1;MECANIQUE;2019-02-01;correctif non planifié
OT021077;clôturé;PFC106;PFC1;MECANIQUE;2019-02-01;correctif planifié
